#       Teff       logg            Z/Zo        SED-name
       21000      3.25000           1   TlustyOB/t21000.g3.25z1.dat.txt
       21000      3.50000           1   TlustyOB/t21000.g3.50z1.dat.txt
       21000      3.75000           1   TlustyOB/t21000.g3.75z1.dat.txt
       21000      4.00000           1   TlustyOB/t21000.g4.00z1.dat.txt
       21000      4.25000           1   TlustyOB/t21000.g4.25z1.dat.txt
       21000      4.50000           1   TlustyOB/t21000.g4.50z1.dat.txt
       21000      4.75000           1   TlustyOB/t21000.g4.75z1.dat.txt
       22000      2.50000           1   TlustyOB/t22000.g2.50z1.dat.txt
       22000      2.75000           1   TlustyOB/t22000.g2.75z1.dat.txt
       22000      3.00000           1   TlustyOB/t22000.g3.00z1.dat.txt
       22000      3.25000           1   TlustyOB/t22000.g3.25z1.dat.txt
       22000      3.50000           1   TlustyOB/t22000.g3.50z1.dat.txt
       22000      3.75000           1   TlustyOB/t22000.g3.75z1.dat.txt
       22000      4.00000           1   TlustyOB/t22000.g4.00z1.dat.txt
       22000      4.25000           1   TlustyOB/t22000.g4.25z1.dat.txt
       22000      4.50000           1   TlustyOB/t22000.g4.50z1.dat.txt
       22000      4.75000           1   TlustyOB/t22000.g4.75z1.dat.txt
       23000      2.50000           1   TlustyOB/t23000.g2.50z1.dat.txt
       23000      2.75000           1   TlustyOB/t23000.g2.75z1.dat.txt
       23000      3.00000           1   TlustyOB/t23000.g3.00z1.dat.txt
       23000      3.25000           1   TlustyOB/t23000.g3.25z1.dat.txt
       23000      3.50000           1   TlustyOB/t23000.g3.50z1.dat.txt
       23000      3.75000           1   TlustyOB/t23000.g3.75z1.dat.txt
       23000      4.00000           1   TlustyOB/t23000.g4.00z1.dat.txt
       23000      4.25000           1   TlustyOB/t23000.g4.25z1.dat.txt
       23000      4.50000           1   TlustyOB/t23000.g4.50z1.dat.txt
       23000      4.75000           1   TlustyOB/t23000.g4.75z1.dat.txt
       24000      2.50000           1   TlustyOB/t24000.g2.50z1.dat.txt
       24000      2.75000           1   TlustyOB/t24000.g2.75z1.dat.txt
       24000      3.00000           1   TlustyOB/t24000.g3.00z1.dat.txt
       24000      3.25000           1   TlustyOB/t24000.g3.25z1.dat.txt
       24000      3.50000           1   TlustyOB/t24000.g3.50z1.dat.txt
       24000      3.75000           1   TlustyOB/t24000.g3.75z1.dat.txt
       24000      4.00000           1   TlustyOB/t24000.g4.00z1.dat.txt
       24000      4.25000           1   TlustyOB/t24000.g4.25z1.dat.txt
       24000      4.50000           1   TlustyOB/t24000.g4.50z1.dat.txt
       24000      4.75000           1   TlustyOB/t24000.g4.75z1.dat.txt
       25000      2.75000           1   TlustyOB/t25000.g2.75z1.dat.txt
       25000      3.00000           1   TlustyOB/t25000.g3.00z1.dat.txt
       25000      3.25000           1   TlustyOB/t25000.g3.25z1.dat.txt
       25000      3.50000           1   TlustyOB/t25000.g3.50z1.dat.txt
       25000      3.75000           1   TlustyOB/t25000.g3.75z1.dat.txt
       25000      4.00000           1   TlustyOB/t25000.g4.00z1.dat.txt
       25000      4.25000           1   TlustyOB/t25000.g4.25z1.dat.txt
       25000      4.50000           1   TlustyOB/t25000.g4.50z1.dat.txt
       25000      4.75000           1   TlustyOB/t25000.g4.75z1.dat.txt
       26000      2.75000           1   TlustyOB/t26000.g2.75z1.dat.txt
       26000      3.00000           1   TlustyOB/t26000.g3.00z1.dat.txt
       26000      3.25000           1   TlustyOB/t26000.g3.25z1.dat.txt
       26000      3.50000           1   TlustyOB/t26000.g3.50z1.dat.txt
       26000      3.75000           1   TlustyOB/t26000.g3.75z1.dat.txt
       26000      4.00000           1   TlustyOB/t26000.g4.00z1.dat.txt
       26000      4.25000           1   TlustyOB/t26000.g4.25z1.dat.txt
       26000      4.50000           1   TlustyOB/t26000.g4.50z1.dat.txt
       26000      4.75000           1   TlustyOB/t26000.g4.75z1.dat.txt
       27000      2.75000           1   TlustyOB/t27000.g2.75z1.dat.txt
       27000      3.00000           1   TlustyOB/t27000.g3.00z1.dat.txt
       27000      3.25000           1   TlustyOB/t27000.g3.25z1.dat.txt
       27000      3.50000           1   TlustyOB/t27000.g3.50z1.dat.txt
       27000      3.75000           1   TlustyOB/t27000.g3.75z1.dat.txt
       27000      4.00000           1   TlustyOB/t27000.g4.00z1.dat.txt
       27000      4.25000           1   TlustyOB/t27000.g4.25z1.dat.txt
       27000      4.50000           1   TlustyOB/t27000.g4.50z1.dat.txt
       27000      4.75000           1   TlustyOB/t27000.g4.75z1.dat.txt
       28000      2.75000           1   TlustyOB/t28000.g2.75z1.dat.txt
       28000      3.00000           1   TlustyOB/t28000.g3.00z1.dat.txt
       28000      3.25000           1   TlustyOB/t28000.g3.25z1.dat.txt
       28000      3.50000           1   TlustyOB/t28000.g3.50z1.dat.txt
       28000      3.75000           1   TlustyOB/t28000.g3.75z1.dat.txt
       28000      4.00000           1   TlustyOB/t28000.g4.00z1.dat.txt
       28000      4.25000           1   TlustyOB/t28000.g4.25z1.dat.txt
       28000      4.50000           1   TlustyOB/t28000.g4.50z1.dat.txt
       28000      4.75000           1   TlustyOB/t28000.g4.75z1.dat.txt
       29000      3.00000           1   TlustyOB/t29000.g3.00z1.dat.txt
       29000      3.25000           1   TlustyOB/t29000.g3.25z1.dat.txt
       29000      3.50000           1   TlustyOB/t29000.g3.50z1.dat.txt
       29000      3.75000           1   TlustyOB/t29000.g3.75z1.dat.txt
       29000      4.00000           1   TlustyOB/t29000.g4.00z1.dat.txt
       29000      4.25000           1   TlustyOB/t29000.g4.25z1.dat.txt
       29000      4.50000           1   TlustyOB/t29000.g4.50z1.dat.txt
       29000      4.75000           1   TlustyOB/t29000.g4.75z1.dat.txt
       30000      3.00000           1   TlustyOB/t30000.g3.00z1.dat.txt
       30000      3.25000           1   TlustyOB/t30000.g3.25z1.dat.txt
       30000      3.50000           1   TlustyOB/t30000.g3.50z1.dat.txt
       30000      3.75000           1   TlustyOB/t30000.g3.75z1.dat.txt
       30000      4.00000           1   TlustyOB/t30000.g4.00z1.dat.txt
       30000      4.25000           1   TlustyOB/t30000.g4.25z1.dat.txt
       30000      4.50000           1   TlustyOB/t30000.g4.50z1.dat.txt
       30000      4.75000           1   TlustyOB/t30000.g4.75z1.dat.txt
       32500      3.25000           1   TlustyOB/t32500.g3.25z1.dat.txt
       32500      3.50000           1   TlustyOB/t32500.g3.50z1.dat.txt
       32500      3.75000           1   TlustyOB/t32500.g3.75z1.dat.txt
       32500      4.00000           1   TlustyOB/t32500.g4.00z1.dat.txt
       32500      4.25000           1   TlustyOB/t32500.g4.25z1.dat.txt
       32500      4.50000           1   TlustyOB/t32500.g4.50z1.dat.txt
       32500      4.75000           1   TlustyOB/t32500.g4.75z1.dat.txt
       35000      3.25000           1   TlustyOB/t35000.g3.25z1.dat.txt
       35000      3.50000           1   TlustyOB/t35000.g3.50z1.dat.txt
       35000      3.75000           1   TlustyOB/t35000.g3.75z1.dat.txt
       35000      4.00000           1   TlustyOB/t35000.g4.00z1.dat.txt
       35000      4.25000           1   TlustyOB/t35000.g4.25z1.dat.txt
       35000      4.50000           1   TlustyOB/t35000.g4.50z1.dat.txt
       35000      4.75000           1   TlustyOB/t35000.g4.75z1.dat.txt
       37500      3.50000           1   TlustyOB/t37500.g3.50z1.dat.txt
       37500      3.75000           1   TlustyOB/t37500.g3.75z1.dat.txt
       37500      4.00000           1   TlustyOB/t37500.g4.00z1.dat.txt
       37500      4.25000           1   TlustyOB/t37500.g4.25z1.dat.txt
       37500      4.50000           1   TlustyOB/t37500.g4.50z1.dat.txt
       37500      4.75000           1   TlustyOB/t37500.g4.75z1.dat.txt
       40000      3.50000           1   TlustyOB/t40000.g3.50z1.dat.txt
       40000      3.75000           1   TlustyOB/t40000.g3.75z1.dat.txt
       40000      4.00000           1   TlustyOB/t40000.g4.00z1.dat.txt
       40000      4.25000           1   TlustyOB/t40000.g4.25z1.dat.txt
       40000      4.50000           1   TlustyOB/t40000.g4.50z1.dat.txt
       40000      4.75000           1   TlustyOB/t40000.g4.75z1.dat.txt
       42500      3.75000           1   TlustyOB/t42500.g3.75z1.dat.txt
       42500      4.00000           1   TlustyOB/t42500.g4.00z1.dat.txt
       42500      4.25000           1   TlustyOB/t42500.g4.25z1.dat.txt
       42500      4.50000           1   TlustyOB/t42500.g4.50z1.dat.txt
       42500      4.75000           1   TlustyOB/t42500.g4.75z1.dat.txt
       45000      3.75000           1   TlustyOB/t45000.g3.75z1.dat.txt
       45000      4.00000           1   TlustyOB/t45000.g4.00z1.dat.txt
       45000      4.25000           1   TlustyOB/t45000.g4.25z1.dat.txt
       45000      4.50000           1   TlustyOB/t45000.g4.50z1.dat.txt
       45000      4.75000           1   TlustyOB/t45000.g4.75z1.dat.txt
       47500      3.75000           1   TlustyOB/t47500.g3.75z1.dat.txt
       47500      4.00000           1   TlustyOB/t47500.g4.00z1.dat.txt
       47500      4.25000           1   TlustyOB/t47500.g4.25z1.dat.txt
       47500      4.50000           1   TlustyOB/t47500.g4.50z1.dat.txt
       47500      4.75000           1   TlustyOB/t47500.g4.75z1.dat.txt
       50000      4.00000           1   TlustyOB/t50000.g4.00z1.dat.txt
       50000      4.25000           1   TlustyOB/t50000.g4.25z1.dat.txt
       50000      4.50000           1   TlustyOB/t50000.g4.50z1.dat.txt
       50000      4.75000           1   TlustyOB/t50000.g4.75z1.dat.txt
       52500      4.00000           1   TlustyOB/t52500.g4.00z1.dat.txt
       52500      4.25000           1   TlustyOB/t52500.g4.25z1.dat.txt
       52500      4.50000           1   TlustyOB/t52500.g4.50z1.dat.txt
       52500      4.75000           1   TlustyOB/t52500.g4.75z1.dat.txt
       55000      4.00000           1   TlustyOB/t55000.g4.00z1.dat.txt
       55000      4.25000           1   TlustyOB/t55000.g4.25z1.dat.txt
       55000      4.50000           1   TlustyOB/t55000.g4.50z1.dat.txt
       55000      4.75000           1   TlustyOB/t55000.g4.75z1.dat.txt	 
