#      Teff	   Log(g)	Metallicity	L/H	   Vturb     SED_name	
	2300	   5.5		0.00000      0.00000      0.00000	lte23-5.5-0.0.NextGen.spec.dat.txt
	2400	   3.5		0.00000      0.00000      0.00000	lte24-3.5-0.0.NextGen.spec.dat.txt
	2400	   4		0.00000      0.00000      0.00000	lte24-4.0-0.0.NextGen.spec.dat.txt
	2400	   4.5		0.00000      0.00000      0.00000	lte24-4.5-0.0.NextGen.spec.dat.txt
	2400	   5		0.00000      0.00000      0.00000	lte24-5.0-0.0.NextGen.spec.dat.txt
	2400	   5.5		0.00000      0.00000      0.00000	lte24-5.5-0.0.NextGen.spec.dat.txt
	2500	   3.5		0.00000      0.00000      0.00000	lte25-3.5-0.0.NextGen.spec.dat.txt
	2500	   4		0.00000      0.00000      0.00000	lte25-4.0-0.0.NextGen.spec.dat.txt
	2500	   4.5		0.00000      0.00000      0.00000	lte25-4.5-0.0.NextGen.spec.dat.txt
	2500	   5		0.00000      0.00000      0.00000	lte25-5.0-0.0.NextGen.spec.dat.txt
	2500	   5.5		0.00000      0.00000      0.00000	lte25-5.5-0.0.NextGen.spec.dat.txt
	2600	   3.5		0.00000      0.00000      0.00000	lte26-3.5-0.0.NextGen.spec.dat.txt
	2600	   4		0.00000      0.00000      0.00000	lte26-4.0-0.0.NextGen.spec.dat.txt
	2600	   4.5		0.00000      0.00000      0.00000	lte26-4.5-0.0.NextGen.spec.dat.txt
	2600	   5		0.00000      0.00000      0.00000	lte26-5.0-0.0.NextGen.spec.dat.txt
	2600	   5.5		0.00000      0.00000      0.00000	lte26-5.5-0.0.NextGen.spec.dat.txt
	2700	   3.5		0.00000      0.00000      0.00000	lte27-3.5-0.0.NextGen.spec.dat.txt
	2700	   4		0.00000      0.00000      0.00000	lte27-4.0-0.0.NextGen.spec.dat.txt
	2700	   4.5		0.00000      0.00000      0.00000	lte27-4.5-0.0.NextGen.spec.dat.txt
	2700	   5		0.00000      0.00000      0.00000	lte27-5.0-0.0.NextGen.spec.dat.txt
	2700	   5.5		0.00000      0.00000      0.00000	lte27-5.5-0.0.NextGen.spec.dat.txt
	2800	   3.5		0.00000      0.00000      0.00000	lte28-3.5-0.0.NextGen.spec.dat.txt
	2800	   4		0.00000      0.00000      0.00000	lte28-4.0-0.0.NextGen.spec.dat.txt
	2800	   4.5		0.00000      0.00000      0.00000	lte28-4.5-0.0.NextGen.spec.dat.txt
	2800	   5		0.00000      0.00000      0.00000	lte28-5.0-0.0.NextGen.spec.dat.txt
	2800	   5.5		0.00000      0.00000      0.00000	lte28-5.5-0.0.NextGen.spec.dat.txt
	2900	   3.5		0.00000      0.00000      0.00000	lte29-3.5-0.0.NextGen.spec.dat.txt
	2900	   4		0.00000      0.00000      0.00000	lte29-4.0-0.0.NextGen.spec.dat.txt
	2900	   4.5		0.00000      0.00000      0.00000	lte29-4.5-0.0.NextGen.spec.dat.txt
	2900	   5		0.00000      0.00000      0.00000	lte29-5.0-0.0.NextGen.spec.dat.txt
	2900	   5.5		0.00000      0.00000      0.00000	lte29-5.5-0.0.NextGen.spec.dat.txt
	3000	   3.5		0.00000      0.00000      0.00000	lte30-3.5-0.0.NextGen.spec.dat.txt
	3000	   4		0.00000      0.00000      0.00000	lte30-4.0-0.0.NextGen.spec.dat.txt
	3000       4.5		0.00000      0.00000      0.00000	lte30-4.5-0.0.NextGen.spec.dat.txt
	3000       5		0.00000      0.00000      0.00000	lte30-5.0-0.0.NextGen.spec.dat.txt
	3000       5.5		0.00000      0.00000      0.00000	lte30-5.5-0.0.NextGen.spec.dat.txt
	3100       3.5		0.00000      0.00000      0.00000	lte31-3.5-0.0.NextGen.spec.dat.txt
	3100       4		0.00000      0.00000      0.00000	lte31-4.0-0.0.NextGen.spec.dat.txt
	3100       4.5		0.00000      0.00000      0.00000	lte31-4.5-0.0.NextGen.spec.dat.txt
	3100       5		0.00000      0.00000      0.00000	lte31-5.0-0.0.NextGen.spec.dat.txt
	3100       5.5		0.00000      0.00000      0.00000	lte31-5.5-0.0.NextGen.spec.dat.txt
	3200       3.5		0.00000      0.00000      0.00000	lte32-3.5-0.0.NextGen.spec.dat.txt
	3200       4		0.00000      0.00000      0.00000	lte32-4.0-0.0.NextGen.spec.dat.txt
	3200       4.5		0.00000      0.00000      0.00000	lte32-4.5-0.0.NextGen.spec.dat.txt
	3200       5		0.00000      0.00000      0.00000	lte32-5.0-0.0.NextGen.spec.dat.txt
