#lambda[nm]	BBF_Y	BBF_J	BBF_H	BBF_Ks
#1	          2	  3   	  4	  5
689	3.30E-005	1.50E-012	1.07E-003	0.00E+000
690	3.30E-005	4.20E-012	1.07E-003	0.00E+000
691	3.30E-005	1.60E-012	1.07E-003	0.00E+000
692	3.30E-005	-2.25E-012	1.07E-003	0.00E+000
693	3.30E-005	7.60E-013	1.07E-003	0.00E+000
694	3.30E-005	8.14E-012	1.07E-003	0.00E+000
695	3.30E-005	3.78E-012	1.07E-003	0.00E+000
696	3.30E-005	-9.90E-013	1.07E-003	0.00E+000
697	3.30E-005	3.75E-012	1.07E-003	0.00E+000
698	3.30E-005	2.60E-012	1.07E-003	0.00E+000
699	3.30E-005	-1.10E-013	1.07E-003	0.00E+000
700	3.30E-005	8.50E-013	1.07E-003	0.00E+000
701	3.30E-005	-9.20E-013	1.07E-003	0.00E+000
702	3.30E-005	-2.00E-014	1.07E-003	0.00E+000
703	3.30E-005	-1.80E-013	1.07E-003	0.00E+000
704	3.30E-005	-0.00E+000	1.07E-003	0.00E+000
705	3.30E-005	2.50E-013	1.07E-003	0.00E+000
706	3.30E-005	-1.60E-013	1.07E-003	0.00E+000
707	3.30E-005	-4.20E-013	1.07E-003	0.00E+000
708	3.30E-005	-9.10E-013	1.07E-003	0.00E+000
709	3.30E-005	5.10E-013	1.07E-003	0.00E+000
710	3.30E-005	3.99E-012	1.07E-003	0.00E+000
711	3.30E-005	2.64E-012	1.07E-003	0.00E+000
712	3.30E-005	3.64E-012	1.07E-003	0.00E+000
713	3.30E-005	8.00E-013	1.07E-003	0.00E+000
714	3.30E-005	-7.70E-013	1.07E-003	0.00E+000
715	3.30E-005	-8.40E-013	1.07E-003	0.00E+000
716	3.30E-005	1.80E-013	1.07E-003	0.00E+000
717	3.30E-005	1.60E-012	1.07E-003	0.00E+000
718	3.30E-005	1.54E-012	1.07E-003	0.00E+000
719	3.30E-005	-7.20E-013	1.07E-003	0.00E+000
720	3.30E-005	-2.31E-012	1.07E-003	0.00E+000
721	3.30E-005	4.00E-013	1.07E-003	0.00E+000
722	3.30E-005	-2.40E-012	1.07E-003	0.00E+000
723	3.30E-005	-5.94E-012	1.07E-003	0.00E+000
724	3.30E-005	-1.20E-012	1.07E-003	0.00E+000
725	3.30E-005	1.10E-013	1.07E-003	0.00E+000
726	3.30E-005	-4.20E-013	1.07E-003	0.00E+000
727	3.30E-005	9.00E-014	1.07E-003	0.00E+000
728	3.30E-005	-5.00E-013	1.07E-003	0.00E+000
729	3.30E-005	-1.89E-012	1.07E-003	0.00E+000
730	3.30E-005	-3.60E-013	1.07E-003	0.00E+000
731	3.30E-005	5.00E-013	1.07E-003	0.00E+000
732	3.30E-005	1.80E-013	1.07E-003	0.00E+000
733	3.30E-005	7.50E-013	1.07E-003	0.00E+000
734	3.30E-005	2.40E-013	1.07E-003	0.00E+000
735	3.30E-005	8.00E-013	1.07E-003	0.00E+000
736	3.30E-005	1.80E-013	1.07E-003	0.00E+000
737	3.30E-005	-6.00E-014	1.07E-003	0.00E+000
738	3.30E-005	-9.60E-013	1.07E-003	0.00E+000
739	3.30E-005	1.70E-012	1.07E-003	0.00E+000
740	3.30E-005	4.10E-012	1.07E-003	0.00E+000
741	3.30E-005	-4.80E-013	1.07E-003	0.00E+000
742	3.30E-005	5.00E-014	1.07E-003	0.00E+000
743	3.30E-005	1.62E-012	1.07E-003	0.00E+000
744	3.30E-005	1.87E-012	1.07E-003	0.00E+000
745	3.30E-005	-5.13E-012	1.07E-003	0.00E+000
746	3.30E-005	-2.00E-012	1.07E-003	0.00E+000
747	3.30E-005	0.00E+000	1.07E-003	0.00E+000
748	3.30E-005	1.80E-013	1.07E-003	0.00E+000
749	3.30E-005	8.06E-012	1.07E-003	0.00E+000
750	3.30E-005	2.31E-012	1.07E-003	0.00E+000
751	3.30E-005	-0.00E+000	1.07E-003	0.00E+000
752	3.30E-005	1.20E-013	1.07E-003	0.00E+000
753	3.30E-005	-1.05E-012	1.07E-003	0.00E+000
754	3.30E-005	8.10E-013	1.07E-003	0.00E+000
755	3.30E-005	7.20E-013	1.07E-003	0.00E+000
756	3.30E-005	5.18E-012	1.07E-003	0.00E+000
757	3.30E-005	-4.00E-013	1.07E-003	0.00E+000
758	3.30E-005	9.86E-012	1.07E-003	0.00E+000
759	3.30E-005	1.60E-012	1.07E-003	0.00E+000
760	3.30E-005	-2.59E-012	1.07E-003	0.00E+000
761	3.30E-005	3.50E-013	1.07E-003	0.00E+000
762	3.30E-005	-1.68E-012	1.07E-003	0.00E+000
763	3.30E-005	1.11E-012	1.07E-003	0.00E+000
764	3.30E-005	-5.52E-012	1.07E-003	0.00E+000
765	3.30E-005	-5.92E-012	1.07E-003	0.00E+000
766	3.30E-005	-8.12E-012	1.07E-003	0.00E+000
767	3.30E-005	-6.30E-012	1.07E-003	0.00E+000
768	3.30E-005	7.70E-013	1.07E-003	0.00E+000
769	3.30E-005	9.60E-013	1.07E-003	0.00E+000
770	3.30E-005	-2.00E-013	1.07E-003	0.00E+000
771	3.30E-005	9.60E-012	1.07E-003	0.00E+000
772	3.30E-005	7.50E-013	1.07E-003	0.00E+000
773	3.30E-005	-8.46E-012	1.07E-003	0.00E+000
774	3.30E-005	2.34E-012	1.07E-003	0.00E+000
775	3.30E-005	-1.58E-011	1.07E-003	0.00E+000
776	3.30E-005	-7.82E-012	1.07E-003	0.00E+000
777	3.30E-005	-7.00E-012	1.07E-003	0.00E+000
778	3.30E-005	-8.50E-012	1.07E-003	0.00E+000
779	3.30E-005	2.85E-012	1.07E-003	0.00E+000
780	3.30E-005	1.82E-011	1.07E-003	0.00E+000
781	3.30E-005	3.29E-011	1.07E-003	0.00E+000
782	3.30E-005	-4.37E-012	1.07E-003	0.00E+000
783	3.30E-005	-8.40E-013	1.07E-003	0.00E+000
784	3.30E-005	-6.00E-013	1.07E-003	0.00E+000
785	3.30E-005	4.32E-012	1.07E-003	0.00E+000
786	3.30E-005	4.00E-014	1.07E-003	0.00E+000
787	3.30E-005	-1.36E-011	1.07E-003	0.00E+000
788	3.30E-005	-1.66E-011	1.07E-003	0.00E+000
789	3.30E-005	-5.11E-011	1.07E-003	0.00E+000
790	3.30E-005	-2.42E-012	1.07E-003	0.00E+000
791	3.30E-005	-6.75E-012	1.07E-003	0.00E+000
792	3.30E-005	-9.24E-012	1.07E-003	0.00E+000
793	3.30E-005	2.44E-011	1.07E-003	0.00E+000
794	3.30E-005	-5.06E-011	1.07E-003	0.00E+000
795	3.30E-005	3.26E-011	1.07E-003	0.00E+000
